bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,15,0.3333333333333333,0.3879990061124166,0.054665672779083296
4,0.4,0.5,690,0.2797101449275362,0.4627549115298451,0.1830447666023089
5,0.5,0.6000000000000001,295,0.3050847457627119,0.5282100196612083,0.2231252738984964
6,0.6000000000000001,0.7000000000000001,15,0.3333333333333333,0.6245008865992229,0.29116755326588956
