bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,86,0.2558139534883721,0.36516054182551627,0.10934658833714417
4,0.4,0.5,206,0.2087378640776699,0.4532998267886708,0.24456196271100092
5,0.5,0.6000000000000001,211,0.23696682464454977,0.5483594104577015,0.31139258581315177
6,0.6000000000000001,0.7000000000000001,165,0.2787878787878788,0.6492687351775892,0.3704808563897104
7,0.7000000000000001,0.8,135,0.3333333333333333,0.7509298125902811,0.4175964792569478
8,0.8,0.9,106,0.3584905660377358,0.8460217748048171,0.4875312087670813
9,0.9,1.0,106,0.6509433962264151,0.9565042184208924,0.30556082219447733
