bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,1,1.0,0.3594353199005127,0.6405646800994873
4,0.4,0.5,4,0.75,0.4448990896344185,0.3051009103655815
5,0.5,0.6000000000000001,8,0.125,0.5577601045370102,0.4327601045370102
6,0.6000000000000001,0.7000000000000001,14,0.14285714285714285,0.662801627601896,0.5199444847447532
7,0.7000000000000001,0.8,72,0.125,0.7687286287546158,0.6437286287546158
8,0.8,0.9,335,0.191044776119403,0.862003115575705,0.670958339456302
9,0.9,1.0,581,0.3717728055077453,0.9344015472316906,0.5626287417239453
