bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,222,0.23873873873873874,0.3750643561015258,0.13632561736278703
4,0.4,0.5,576,0.3107638888888889,0.4472922157082293,0.1365283268193404
5,0.5,0.6000000000000001,202,0.31683168316831684,0.5301028020901255,0.21327111892180867
6,0.6000000000000001,0.7000000000000001,14,0.2857142857142857,0.635209607226508,0.3494953215122223
7,0.7000000000000001,0.8,1,0.0,0.7079865336418152,0.7079865336418152
