bin,low,high,count,accuracy,confidence,gap
2,0.2,0.30000000000000004,2,1.0,0.2865086495876312,0.7134913504123688
3,0.30000000000000004,0.4,571,0.4851138353765324,0.3669389880893527,0.1181748472871797
4,0.4,0.5,419,0.7064439140811456,0.4317927551867,0.2746511588944456
5,0.5,0.6000000000000001,22,0.8636363636363636,0.5224529694427144,0.3411833941936493
6,0.6000000000000001,0.7000000000000001,1,1.0,0.6092137098312378,0.3907862901687622
