bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,2,0.5,0.3492441028356552,0.1507558971643448
4,0.4,0.5,24,0.25,0.4659639435509841,0.21596394355098408
5,0.5,0.6000000000000001,56,0.17857142857142858,0.5616033098527363,0.3830318812813077
6,0.6000000000000001,0.7000000000000001,92,0.17391304347826086,0.6583229465329129,0.48440990305465204
7,0.7000000000000001,0.8,215,0.19069767441860466,0.7616156059642171,0.5709179315456124
8,0.8,0.9,482,0.2697095435684647,0.8501958149597358,0.5804862713912711
9,0.9,1.0,144,0.625,0.9303334318101406,0.3053334318101406
