model,fold,ece_orig,ece_iso,gain_ece,accuracy,std_conf_orig,std_conf_iso,confidence_spread_ratio,below_threshold
biomistral_A,0,0.14950132428718904,0.03266133015409836,0.11683999413309068,0.2955665024630542,0.06240403964300305,0.05231473088468576,0.8383228262779854,True
biomistral_A,1,0.18637700562406645,0.054391085025087355,0.1319859205989791,0.2660098522167488,0.05806215852105656,0.05410533676597102,0.9318519694087746,False
biomistral_A,2,0.1514072017423038,0.013960277959074716,0.1374469237832291,0.30049261083743845,0.058540015625694025,0.05040287577168848,0.8609986730096798,True
biomistral_A,3,0.15616313694733114,0.05960776870232026,0.09655536824501088,0.2955665024630542,0.06577206740121945,0.043284773904237565,0.6581026811913022,False
biomistral_A,4,0.13283847602717394,0.03333304993958461,0.09950542608758933,0.32019704433497537,0.05746347866480297,0.04922948347808185,0.8567090719524342,True
biomistral_B,0,0.20408173955132808,0.050913316120070176,0.15316842343125792,0.28078817733990147,0.04601154756624139,0.05976866566825557,1.2989927274714785,False
biomistral_B,1,0.23039991705875681,0.043533008572069855,0.18686690848668697,0.26108374384236455,0.04069099052944378,0.03262724312464771,0.8018296605740972,True
biomistral_B,2,0.18037358308073337,0.0632305502586995,0.11714303282203387,0.3054187192118227,0.040810010005126476,0.05186845948731899,1.2709739468528278,False
biomistral_B,3,0.1926032364955677,0.029540665096036894,0.16306257139953081,0.29064039408866993,0.04640996870824403,0.02609801876875949,0.5623364870772596,True
biomistral_B,4,0.17534618630197837,0.022476053324894066,0.1528701329770843,0.3054187192118227,0.04109053241725823,0.0164127761762688,0.39942963039766677,True
llama_base_A,0,0.11773914245549094,0.06388131690735407,0.05385782554813687,0.23645320197044334,0.036834824468062466,0.10133724146780416,2.751125950272095,False
llama_base_A,1,0.16507354672319194,0.0359642304926362,0.12910931623055574,0.1921182266009852,0.03850038072248131,0.1201289907719582,3.120202671185845,True
llama_base_A,2,0.12632594158496763,0.03488506855661164,0.09144087302835599,0.22660098522167488,0.032129307988836134,0.11697626701471062,3.6407963425591356,True
llama_base_A,3,0.12238581603383784,0.0444285460215971,0.07795727001224075,0.2315270935960591,0.03163602564679657,0.11686975473246915,3.694198381214906,True
llama_base_A,4,0.09355114906879483,0.09365468832246593,-0.00010353925367109773,0.26108374384236455,0.03444171212745045,0.1198820253341676,3.480722006227449,False
llama_base_B,0,0.14870545209334984,0.03039078073247943,0.11831467136087041,0.33497536945812806,0.03785530562653041,0.15406232717761523,4.069768414962752,True
llama_base_B,1,0.16080833993521818,0.06448750463043179,0.09632083530478638,0.27586206896551724,0.03632046761100139,0.14330603066246358,3.9455998253463154,False
llama_base_B,2,0.16376365934099468,0.08738516378073606,0.07637849556025862,0.31527093596059114,0.034031944468320925,0.14068230702799456,4.133830999840473,False
llama_base_B,3,0.13897611076021432,0.044647833472649646,0.09432827728756468,0.3054187192118227,0.03337859056623265,0.12614355385028758,3.779175564647727,True
llama_base_B,4,0.14248029777569138,0.02635596940008266,0.11612432837560871,0.3103448275862069,0.0357853295108921,0.1296531700401814,3.623081631837942,True
llama_instruct_A,0,0.5159854780277008,0.02793565001724447,0.4880498280104563,0.28078817733990147,0.11103639286351864,0.18607620550537385,1.6758127736920547,True
llama_instruct_A,1,0.5333812210360184,0.048111172392563906,0.48527004864345447,0.26108374384236455,0.1177969000992546,0.16436371495366936,1.39531443370053,True
llama_instruct_A,2,0.5121989910825719,0.06892951305093335,0.4432694780316386,0.31527093596059114,0.09265218068290815,0.18683301507210914,2.016498842175388,False
llama_instruct_A,3,0.5062211370233245,0.030910149573157276,0.4753109874501672,0.2857142857142857,0.12481676451814933,0.1896087821743751,1.5190970772744594,True
llama_instruct_A,4,0.49894448718413936,0.056636868645249194,0.44230761853889017,0.3054187192118227,0.11107232784430937,0.17716260328933775,1.5950201704394587,False
llama_instruct_B,0,0.6104386331412592,0.04291993996690183,0.5675186931743574,0.28078817733990147,0.06476535070152131,0.16021368784719647,2.473756200063827,True
llama_instruct_B,1,0.618386912668867,0.06256397705945003,0.555822935609417,0.26108374384236455,0.0902962223782996,0.15534293045993405,1.7203702034080528,False
llama_instruct_B,2,0.5919049258889824,0.06332144007902857,0.5285834858099538,0.32019704433497537,0.08586194099044846,0.17233427860022976,2.0071090475278304,False
llama_instruct_B,3,0.5983365181044404,0.11326349356232593,0.48507302454211454,0.29064039408866993,0.0603719464440301,0.1477850880738904,2.4479099445783095,False
llama_instruct_B,4,0.5972420314849891,0.04932235535491514,0.547919676130074,0.3054187192118227,0.06876732406491157,0.15968394293208546,2.3220903983606362,True
meditron_A,0,0.2680587483744316,0.1136388765606109,0.15441987181382072,0.7339901477832512,0.02934983269342018,0.022322532309435855,0.7605676169472766,False
meditron_A,1,0.1749622600125562,0.012775512541210392,0.1621867474713458,0.6403940886699507,0.027962916056144205,0.04484552846751809,1.6037500658900101,True
meditron_A,2,0.1423580200214104,0.09515178823831454,0.04720623178309587,0.5714285714285714,0.030556944504855646,0.03354808743101008,1.0978875006851265,False
meditron_A,3,0.18504486574328005,0.025222970671332088,0.15982189507194797,0.6502463054187192,0.03079236232506883,0.06354165893744318,2.0635525870554052,True
meditron_A,4,0.17703718064453802,0.024751914450133645,0.15228526619440438,0.645320197044335,0.030724300557005577,0.04332915414326892,1.410256811636002,True
meditron_B,0,0.2550687355360961,0.06731801373770063,0.18775072179839547,0.6847290640394089,0.09377750889675232,0.005602902491953039,0.05974676186079706,False
meditron_B,1,0.22700113043409262,0.022563069114793145,0.20443806131929948,0.6108374384236454,0.08898130467792909,0.011721899384926753,0.13173440676504547,True
meditron_B,2,0.18762929686184587,0.08647810465221623,0.10115119220962965,0.5615763546798029,0.0978669231470945,0.024490987269322608,0.2502478516925737,False
meditron_B,3,0.2782436456586339,0.046071282422934665,0.23217236323569923,0.6551724137931034,0.09215801653579077,0.02865525107372793,0.3109360655846938,True
meditron_B,4,0.25024618142344096,0.008609068452791888,0.24163711297064908,0.6403940886699507,0.09629696990137562,0.025248235744356043,0.2621913832825114,True
mistral_base_A,0,0.1564372977599722,0.06166670130138079,0.0947705964585914,0.5172413793103449,0.05031952221671768,0.1377133713840954,2.736778198946071,False
mistral_base_A,1,0.15255669654883774,0.04208660568910515,0.1104700908597326,0.5221674876847291,0.04824260374282264,0.12913807769643873,2.6768471781677294,True
mistral_base_A,2,0.07163616266156655,0.10196777497859935,-0.030331612317032797,0.43349753694581283,0.05145299243087392,0.1381519958167401,2.6850138211561663,False
mistral_base_A,3,0.17123325103022197,0.07891521033136713,0.09231804069885484,0.541871921182266,0.049328076385461966,0.12444539557363304,2.522810632248975,False
mistral_base_A,4,0.11681210069820801,0.11145391362375501,0.005358187074453,0.4827586206896552,0.05295391308859127,0.16820459419804384,3.1764337022013756,False
mistral_base_B,0,0.22499133830000032,0.07660480288476751,0.1483865354152328,0.625615763546798,0.0495120387097782,0.1543626527503181,3.1176791902094068,False
mistral_base_B,1,0.1559290285474561,0.08179967522192536,0.07412935332553075,0.5517241379310345,0.04302220931191702,0.15821801934686416,3.6775893631998637,False
mistral_base_B,2,0.15503348578960438,0.08318447822018687,0.0718490075694175,0.5517241379310345,0.04169120610568131,0.14958168869149477,3.5878474782506014,False
mistral_base_B,3,0.19275315186660277,0.09036214185278646,0.10239101001381631,0.5911330049261084,0.04017163607971735,0.15291744173764032,3.806602286105253,False
mistral_base_B,4,0.21678883747514247,0.06235174873395215,0.15443708874119033,0.6108374384236454,0.043942305217825155,0.1625298270976848,3.6987096214459574,False
mistral_instruct_A,0,0.3826625762608251,0.08215502776697381,0.3005075484938513,0.2512315270935961,0.18422869297393987,0.15822383749929594,0.8588447051604363,False
mistral_instruct_A,1,0.29332978883987576,0.057352315236127764,0.235977473603748,0.33004926108374383,0.17089817304564636,0.13471694847562182,0.7882878211906885,False
mistral_instruct_A,2,0.33516093985787754,0.05438489267296867,0.2807760471849089,0.3103448275862069,0.18964654099630057,0.1546741348953031,0.8155916479295044,False
mistral_instruct_A,3,0.29865011088366583,0.04318014518371668,0.2554699656999492,0.3251231527093596,0.17585450000885147,0.11236602819817464,0.6389715827147943,True
mistral_instruct_A,4,0.30132972606884434,0.04917848444556386,0.2521512416232805,0.3251231527093596,0.17913695767367702,0.15327261484548788,0.8556169359797622,True
mistral_instruct_B,0,0.24641109672673228,0.06774708690711562,0.17866400981961666,0.5320197044334976,0.1830160916678194,0.020591733889008004,0.112513242422326,False
mistral_instruct_B,1,0.2600467216792365,0.05682881277650893,0.20321790890272756,0.4482758620689655,0.17822757431012978,0.0547425658446456,0.307149811450552,False
mistral_instruct_B,2,0.2979929460386925,0.041122297649061695,0.2568706483896308,0.46798029556650245,0.1861766670010901,0.023243730854142546,0.1248477117382623,True
mistral_instruct_B,3,0.3043105998649973,0.05605773117629144,0.24825286868870589,0.4729064039408867,0.18431021011168444,0.04542070042247155,0.24643615996611618,False
mistral_instruct_B,4,0.2797795563495805,0.0022215735457783697,0.2775579828038022,0.47783251231527096,0.1880569416001117,0.017220031199551487,0.0915681763886628,True
