bin,low,high,count,accuracy,confidence,gap
3,0.30000000000000004,0.4,26,0.46153846153846156,0.3713164765101213,0.09022198502834028
4,0.4,0.5,121,0.45454545454545453,0.4571277326788784,0.0025822781334238765
5,0.5,0.6000000000000001,155,0.5096774193548387,0.551965175136443,0.042287755781604375
6,0.6000000000000001,0.7000000000000001,143,0.5314685314685315,0.6503054178678073,0.11883688639927581
7,0.7000000000000001,0.8,163,0.5214723926380368,0.7486175510780942,0.22714515844005745
8,0.8,0.9,151,0.4503311258278146,0.8443728965639279,0.3940417707361133
9,0.9,1.0,256,0.4375,0.9610837446525693,0.5235837446525693
